Rank,School,First Year Class,L75,L50,L25,G75,G50,G25,gre75v,gre50v,gre25v,gre75q,gre50q,gre25q,gre75w,gre50w,gre25w
1,Yale University,2018,176,173,170,3.98,3.92,3.84,,,,,,,,,
2,Stanford University,2018,174,171,169,3.99,3.93,3.82,,,,,,,,,
4,Harvard University,2018,175,173,170,3.97,3.9,3.8,,,,,,,,,
3,University of Chicago,2018,173,171,167,3.96,3.89,3.73,,,,,,,,,
4,Columbia University,2018,174,172,170,3.84,3.75,3.63,,,,,,,,,
7,New York University,2018,172,170,167,3.9,3.79,3.61,,,,,,,,,
6,University of Pennsylvania,2018,171,170,164,3.95,3.89,3.49,,,,,,,,,
10,University of Michigan,2018,171,169,165,3.89,3.77,3.55,,,,,,,,,
9,University of California—Berkeley,2018,170,168,165,3.9,3.8,3.64,,,,,,,,,
8,University of Virginia,2018,171,169,163,3.97,3.89,3.59,,,,,,,,,
11,Duke University,2018,170,169,167,3.87,3.78,3.66,,,,,,,,,
13,Northwestern University,2018,170,169,164,3.9,3.84,3.58,,,,,,,,,
12,Cornell University,2018,168,167,164,3.89,3.82,3.73,,,,,,,,,
14,Georgetown University,2018,168,167,163,3.9,3.8,3.56,,,,,,,,,
17,University of Texas at Austin,2018,168,167,160,3.88,3.74,3.47,,,,,,,,,
15,University of California—Los Angeles,2018,169,168,165,3.85,3.72,3.52,,,,,,,,,
17,Vanderbilt University,2018,168,167,161,3.87,3.8,3.61,,,,,,,,,
16,Washington University in St. Louis,2018,170,168,160,3.89,3.81,3.39,,,,,,,,,
20,University of Southern California,2018,167,166,163,3.89,3.78,3.61,,,,,,,,,
21,University of Minnesota,2018,166,164,161,3.88,3.76,3.52,,,,,,,,,
37,University of California—Irvine,2018,165,163,161,3.73,3.57,3.4,,,,,,,,,
17,Boston University,2018,167,166,160,3.84,3.74,3.49,,,,,,,,,
30,Emory University,2018,166,165,158,3.91,3.79,3.51,,,,,,,,,
25,George Washington University,2018,166,165,160,3.8,3.71,3.37,,,,,,,,,
25,University of Notre Dame,2018,166,165,159,3.89,3.71,3.49,,,,,,,,,
35,Washington and Lee University,2018,164,163,158,3.68,3.51,3.21,,,,,,,,,
25,University of Alabama,2018,165,164,157,3.95,3.88,3.42,,,,,,,,,
30,Arizona State University,2018,164,163,158,3.9,3.76,3.37,,,,,,,,,
37,Boston College,2018,164,164,161,3.68,3.62,3.42,,,,,,,,,
28,University of Iowa,2018,163,161,157,3.77,3.61,3.45,,,,,,,,,
43,University of Wisconsin,2018,164,162,158,3.76,3.58,3.23,,,,,,,,,
29,University of Georgia,2018,164,163,159,3.85,3.67,3.39,,,,,,,,,
43,Indiana University - Bloomington,2018,163,162,157,3.88,3.72,3.49,,,,,,,,,
30,Ohio State University,2018,163,161,157,3.91,3.75,3.55,,,,,,,,,
37,Wake Forest University,2018,163,162,160,3.72,3.58,3.38,,,,,,,,,
49,University of Washington,2018,165,163,158,3.8,3.69,3.44,,,,,,,,,
37,University of California—Davis,2018,165,162,157,3.74,3.63,3.37,,,,,,,,,
37,Fordham University,2018,166,164,161,3.7,3.6,3.38,,,,,,,,,
35,University of Illinois—Urbana Champaign,2018,164,162,157,3.8,3.65,3.25,,,,,,,,,
30,William & Mary Law School,2018,164,162,156,3.9,3.76,3.4,,,,,,,,,
45,University of Arizona,2018,162,161,155,3.82,3.7,3.32,,,,,,,,,
23,Brigham Young University,2018,166,164,160,3.91,3.8,3.51,,,,,,,,,
21,University of Florida (Levin),2018,164,163,155,3.84,3.72,3.33,,,,,,,,,
30,George Mason University,2018,164,163,157,3.88,3.76,3.45,,,,,,,,,
23,University of North Carolina,2018,163,161,158,3.75,3.59,3.36,,,,,,,,,
49,University of Colorado—Boulder,2018,164,162,156,3.82,3.71,3.41,,,,,,,,,
47,Florida State University,2018,161,160,157,3.79,3.63,3.34,,,,,,,,,
63,Temple University,2018,163,161,157,3.7,3.54,3.31,,,,,,,,,
47,University of Maryland,2018,161,158,154,3.7,3.56,3.28,,,,,,,,,
58,Baylor University,2018,161,160,157,3.76,3.59,3.31,,,,,,,,,
64,University of Connecticut,2018,161,158,155,3.62,3.45,3.2,,,,,,,,,
52,University of Richmond,2018,162,161,156,3.69,3.59,3.24,,,,,,,,,
58,Southern Methodist University,2018,163,161,155,3.8,3.68,3.43,,,,,,,,,
55,Tulane University,2018,161,159,156,3.64,3.46,3.16,,,,,,,,,
37,University of Utah,2018,161,159,157,3.72,3.56,3.32,,,,,,,,,
52,Yeshiva University (Cardozo),2018,162,161,157,3.71,3.52,3.24,,,,,,,,,
58,University of Houston,2018,161,160,156,3.75,3.61,3.35,,,,,,,,,
